design,variable,order,contact
2,res_netinc,"(1,1)",0.42
2,res_netinc,"(1,2)",0.32
2,res_netinc,"(2,1)",0.335
2,res_netinc,"(2,2)",0.295
1,res_netinc,"(1,1)",0.885
1,res_netinc,"(1,2)",0.83
1,res_netinc,"(2,1)",0.93
1,res_netinc,"(2,2)",0.76
2,res_tc,"(1,1)",0.13
2,res_tc,"(1,2)",0.08
2,res_tc,"(2,1)",0.11
2,res_tc,"(2,2)",0.07
1,res_tc,"(1,1)",0.995
1,res_tc,"(1,2)",0.79
1,res_tc,"(2,1)",0.985
1,res_tc,"(2,2)",0.76
2,netinc,"(1,1)",0.36
2,netinc,"(1,2)",0.32
2,netinc,"(2,1)",0.315
2,netinc,"(2,2)",0.305
1,netinc,"(1,1)",0.77
1,netinc,"(1,2)",0.62
1,netinc,"(2,1)",0.85
1,netinc,"(2,2)",0.675
2,tc,"(1,1)",0.005
2,tc,"(1,2)",0.005
2,tc,"(2,1)",0.005
2,tc,"(2,2)",0.005
1,tc,"(1,1)",0.94
1,tc,"(1,2)",0.62
1,tc,"(2,1)",0.93
1,tc,"(2,2)",0.555